"REF_DATE","GEO","DGUID","Interprovincial migration","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1982-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","20122","","","","0"
"1983-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16500","","","","0"
"1983-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18828","","","","0"
"1983-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","31032","","","","0"
"1983-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","20002","","","","0"
"1984-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16442","","","","0"
"1984-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21526","","","","0"
"1984-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","34147","","","","0"
"1984-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16812","","","","0"
"1985-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13947","","","","0"
"1985-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21818","","","","0"
"1985-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","34998","","","","0"
"1985-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17305","","","","0"
"1986-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","14498","","","","0"
"1986-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22596","","","","0"
"1986-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","39702","","","","0"
"1986-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21324","","","","0"
"1987-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15676","","","","0"
"1987-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","24341","","","","0"
"1987-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","43353","","","","0"
"1987-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21632","","","","0"
"1988-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15035","","","","0"
"1988-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22746","","","","0"
"1988-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","36454","","","","0"
"1988-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18389","","","","0"
"1989-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13135","","","","0"
"1989-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21234","","","","0"
"1989-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","36061","","","","0"
"1989-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18111","","","","0"
"1990-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12944","","","","0"
