"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","21654","","","","0"
"1976-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","20291","","","","0"
"1976-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","14296","","","","0"
"1977-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","12549","","","","0"
"1977-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","16131","","","","0"
"1977-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","16961","","","","0"
"1977-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","10953","","","","0"
"1978-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9990","","","","0"
"1978-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","12082","","","","0"
"1978-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","10630","","","","0"
"1978-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9695","","","","0"
"1979-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","8836","","","","0"
"1979-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","11607","","","","0"
"1979-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","14692","","","","0"
"1979-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","16844","","","","0"
"1980-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","15470","","","","0"
"1980-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","17530","","","","0"
"1980-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","15778","","","","0"
"1980-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","13608","","","","0"
"1981-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","11290","","","","0"
"1981-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","13972","","","","0"
"1981-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","15558","","","","0"
"1981-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","14267","","","","0"
"1982-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","12465","","","","0"
"1982-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","15580","","","","0"
"1982-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","13044","","","","0"
"1982-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","12026","","","","0"
"1983-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9836","","","","0"
"1983-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","10045","","","","0"
"1983-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","10328","","","","0"
"1983-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9912","","","","0"
"1984-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","8480","","","","0"
"1984-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","11532","","","","0"
"1984-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","12111","","","","0"
"1984-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9577","","","","0"
"1985-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","8742","","","","0"
"1985-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","10012","","","","0"
"1985-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","11700","","","","0"
"1985-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","10320","","","","0"
