Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_population,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Graduate_Enrolment,UT_Undergraduate_Enrolment,UT_Total_Enrolment,Ryerson_Total_Enrolment,York_Total_Enrolment,Unemployment_rate_toronto,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Prime_Rate_2,Bank_of_Canada_Overnight_Rate
2007-03-01,1.168464273,6,2.106470864,37392.56214,667.23,2401.696811,654.2734615,12716215.01,26523.01508,7019.019249,14133.17566,16958.46402,70.15313867,38.7485623,10990,50220,61210,25846,51500,7.2,69,64.1,5429184.933,1344,272016.532,746,574,6,4.5
2007-04-01,1.134604579,6,2.2,37430.12427,704.5325,2496.3875,678.6968182,12726728,29478,7665,15805,19256,69.83268503,38.7740867,10990,50220,61210,25846,51500,7.1,68.8,63.9,5436333.673,1390,271089.5547,1019,818,6,4.5
2007-05-01,1.095032409,6,2.219637623,37585.58885,712.032,2559.358165,667.4284615,12738053.04,31714.74144,8856.326263,18034.89006,21913.89877,69.51463022,38.79879339,10990,50220,61210,25846,51500,6.8,68.7,64,5443315.818,1611,275813.0043,1564,446,6,4.5
2007-06-01,1.065202048,6,2.184729019,37719.02904,661.485,2595.659994,654.3766667,12750972.22,33256.76121,10431.37332,20546.14155,24682.96642,69.17777059,38.82432947,10990,50220,61210,25846,51500,6.8,68.9,64.2,5450596.846,1561,276792.9962,1112,985,6,4.5
2007-07-01,1.051187636,6.1875,2.2,37569.49129,630.5575,2658.823335,664.3623077,12764806,33291,10919,20760,24962,68.84383903,38.84904746,10990,50220,61210,25846,51500,6.8,68.9,64.2,5457707.011,1463,270624.285,1465,1752,6.25,5.44
2007-08-01,1.058613348,6.25,2.284504742,37738.81998,580.992,2539.437394,664.4985185,12780503.73,31694.14611,10110.66829,18265.359,22343.21459,68.50063518,38.87457503,10990,50220,61210,25846,51500,6.6,68.9,64.3,5465084.573,1404,272197.4687,1189,536,6.25,5.44
2007-09-01,1.0273673,6.25,2.408040974,37749.55749,580.955,2630.801038,709.0408,12796617.3,28743.06849,8258.636116,13675.94569,17474.07014,68.17128986,38.900064,10990,50220,61210,25846,51500,6.6,68.5,64,5472450.494,1138,294180.6977,2329,930,6.25,5.44
2007-10-01,0.976394565,6.25,2.4,37723.07782,606.064,2778.275221,753.9519231,12807208,26227,7023,10797,14385,67.86578851,38.92469394,10990,50220,61210,25846,51500,6.4,68.7,64.3,5479567.632,1324,292034.6307,1821,804,6.25,5.44
2007-11-01,0.964432,6.25,2.232757975,37742.27178,602.7675,2672.509068,805.6242308,12812094.2,24246.0654,6576.287967,10021.39379,13489.18422,67.56376439,38.95010684,10990,50220,61210,25846,51500,6.8,68.8,64.1,5486910.464,1373,297651.134,1463,1516,6.25,5.44
2007-12-01,1.003404895,6,1.956235499,37517.40767,562.095,2666.25354,802.0504167,12812099.93,23071.17606,6828.032716,11147.45874,14586.23643,67.28470292,38.97466316,10990,50220,61210,25846,51500,7,68.8,64,5494005.258,946,298944.24,278,872,6,4.5
