Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Total_Enrolment,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Exchange Rate_Change_Rate,Prime_Rate_Change_Rate,GDP_Change_Rate,W.MTLS_Change_Rate,Gold_Price_in_USD_Change_Rate,Ontario_population_Change_Rate,Ontario_Immigrants_International_Change_Rate,Ontario_Emigrants_International_Change_Rate,Ontario_In_migrant_Interprovincial_Change_Rate,Ontario_Out_migrant_Interprovincial_Change_Rate,UT_Graduate_Enrolment_Change_Rate,UT_Undergraduate_Enrolment_Change_Rate,Ryerson_Total_Enrolment_Change_Rate,York_Total_Enrolment_Change_Rate,Toronto_population_Change_Rate,Sales_Total_Change_Rate,Avg_Price_Month_Change_Rate
2006-10-01,1.128825636,6.0,1.4,38005.50262,602.985,2323.952259,584.9570832999999,29444.0,7213.0,11460.0,17417.0,71.59484352,38.62431865,60203,68.1,63.5,5395324.919,1132,251892.3207,1928,1306,0.011516287,0.0,-0.000151237,0.031832747,-0.023863722,0.0007028830000000001,-0.065625545,-0.14128132,-0.167814322,-0.173789478,0.0,0.0,0.0,0.0,0.001213116,0.119683482,0.008718443000000001
2006-11-01,1.136101773,6.0,1.481363536,38047.1274,613.294,2405.450928,625.9192307999999,26593.584609999998,6657.908351,10664.99154,15113.77502,71.31500141,38.64981413,60203,68.1,63.5,5402146.194,1059,254158.8725,1639,469,0.006445758,0.0,0.00109523,0.017096611,0.070025902,0.00023075599999999998,-0.096808022,-0.07695711200000001,-0.069372466,-0.132240052,0.0,0.0,0.0,0.0,0.001264294,-0.064487633,0.008998098000000001
2006-12-01,1.1513308420000001,6.0,1.633341275,38242.029669999996,625.565,2434.091003,628.3808333,23514.33582,6688.964885,11258.145120000001,14250.149919999998,71.03624809,38.67449283,60203,68.8,64.4,5408811.437999999,763,252814.6881,866,1126,0.01340467,0.0,0.005122654,0.020008348000000002,0.00393278,-0.000156889,-0.115789159,0.004664608,0.055616883,-0.057141588,0.0,0.0,0.0,0.0,0.001233814,-0.279508971,-0.005288757
2007-01-01,1.175894273,6.0,1.8,37090.42509,620.53,2451.197498,628.2828,22344.0,6793.0,12144.0,14329.0,70.74,38.7,61210,69.5,64.9,5415765.0,824,262393.5643,1192,3080,0.021334815,0.0,-0.030113584,-0.008048724,-0.000156009,7.13e-05,-0.049771162,0.015553246000000001,0.078685687,0.005533281,0.043288399000000005,0.011093438999999998,0.0,0.009803922,0.001285599,0.079947575,0.037888923
2007-02-01,1.17098925,6.0,1.965483352,37338.82811,643.705,2482.6868449999997,664.2295833,23606.47333,6884.774192,13119.1699,15322.19456,70.43541444,38.7255131,61210,69.2,64.5,5422785.79,1020,269456.0098,497,634,-0.004171313,0.0,0.006697228,0.037347107000000004,0.057214336,0.00041244199999999995,0.056501670999999996,0.013510112,0.080300552,0.069313599,0.0,0.0,0.0,0.0,0.001296362,0.237864078,0.026915467999999998
2007-03-01,1.1684642729999999,6.0,2.1064708640000003,37392.562139999995,667.23,2401.696811,654.2734615,26523.01508,7019.019248999999,14133.175659999999,16958.46402,70.15313867,38.748562299999996,61210,69.0,64.1,5429184.932999999,1344,272016.532,746,574,-0.0021562770000000003,0.0,0.0014390929999999998,0.036546244,-0.014988976999999999,0.000640367,0.12354838900000001,0.019498832,0.077291915,0.106790803,0.0,0.0,0.0,0.0,0.001180047,0.317647059,0.009502561
2007-04-01,1.1346045790000001,6.0,2.2,37430.12427,704.5325,2496.3875,678.6968182,29478.0,7665.0,15805.0,19256.0,69.83268503,38.774086700000005,61210,68.8,63.9,5436333.6729999995,1390,271089.5547,1019,818,-0.028977945,0.0,0.001004535,0.05590650900000001,0.037328973,0.000826739,0.111412104,0.09203290800000001,0.11829077800000001,0.135480193,0.0,0.0,0.0,0.0,0.001316724,0.03422619,-0.003407798
2007-05-01,1.095032409,6.0,2.219637623,37585.58885,712.0319999999999,2559.3581649999996,667.4284615,31714.741439999998,8856.326262999999,18034.890059999998,21913.89877,69.51463022,38.79879339,61210,68.7,64.0,5443315.818,1611,275813.0043,1564,446,-0.034877499,0.0,0.004153461,0.010644647,-0.016602931,0.0008898619999999999,0.075878331,0.15542417,0.141087635,0.138029641,0.0,0.0,0.0,0.0,0.001284348,0.158992806,0.017423945
2007-06-01,1.065202048,6.0,2.184729019,37719.029039999994,661.485,2595.659994,654.3766667,33256.761210000004,10431.37332,20546.14155,24682.966419999997,69.17777059,38.82432947,61210,68.9,64.2,5450596.846,1561,276792.9962,1112,985,-0.027241533,0.0,0.003550302,-0.070989787,-0.019555347,0.00101422,0.048621545999999995,0.17784429,0.13924407,0.126361251,0.0,0.0,0.0,0.0,0.001337609,-0.031036623,0.0035531029999999997
2007-07-01,1.0511876359999999,6.1875,2.2,37569.49129,630.5575,2658.823335,664.3623077000001,33291.0,10919.0,20760.0,24962.0,68.84383903,38.84904746,61210,68.9,64.2,5457707.011,1463,270624.285,1465,1752,-0.013156576000000001,0.03125,-0.003964517,-0.046754650999999994,0.015259775,0.00108492,0.001029529,0.04674616400000001,0.010408691,0.011304702,0.0,0.0,0.0,0.0,0.001304475,-0.062780269,-0.02228637
