Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_population,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Graduate_Enrolment,UT_Undergraduate_Enrolment,UT_Total_Enrolment,Ryerson_Total_Enrolment,York_Total_Enrolment,Unemployment_rate_toronto,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Prime_Rate_2,Bank_of_Canada_Overnight_Rate
2004-09-01,1.2905654999999998,3.9,2.182685533396426,36463.858638743455,327.92999999999995,1881.2014276666664,404.5435999999999,12426412.094285222,27582.860859240165,7115.520204318612,12270.863665867128,16350.95359554007,71.68704469102882,37.99913657359711,10230.0,45533.0,55763.0,25846.0,47000.0,7.3,69.0,64.0,5213663.017296347,932.0,224065.0075,1601.0,1380.0,4.0,2.25
2004-10-01,1.249289714285714,4.125,2.3,36412.59336823735,348.055,1935.5619070000002,419.8024,12437664.0,25298.0,6126.0,10584.0,14212.0,71.73699740251531,38.02397375744773,10230.0,45533.0,55763.0,25846.0,47000.0,7.6,69.4,64.1,5220244.939224425,900.0,238120.0933,2174.0,2070.0,4.25,2.5
2004-11-01,1.1962792727272726,4.25,2.308334126932622,36495.37347294939,350.17,2059.2052350000004,438.4124,12442967.261640273,24970.089250637575,5670.5100404415625,10063.682764813484,13066.473875672764,71.8020621758523,38.049615071562854,10230.0,45533.0,55763.0,25846.0,47000.0,7.4,69.6,64.4,5227210.946083149,1000.0,235626.733,1703.0,1210.0,4.25,2.5
2004-12-01,1.2181875652173912,4.25,2.2188784374039554,36450.92146596859,354.76800000000003,2146.2768,442.5352173913044,12443237.693860447,26504.42427759229,5696.1378868390375,10702.679465386142,12994.744539234658,71.87804128372774,38.07440623761252,10230.0,45533.0,55763.0,25846.0,47000.0,8.3,69.5,63.7,5234111.6180751845,703.0,239119.6999,1018.0,395.0,4.25,2.5
2005-01-01,1.2241941904761906,4.25,2.1,36595.905759162306,357.82750000000004,2081.3314941,424.104347826087,12446466.0,29269.0,5683.0,12285.0,14033.0,71.97,38.1,10485.0,47402.0,57887.0,25846.0,49500.0,7.0,68.8,64.0,5241407.0,601.0,230779.2962,491.0,965.0,4.25,2.5
2005-02-01,1.2392857000000002,4.25,1.9665650374874968,36668.471204188485,363.33000000000004,2065.44789531579,422.5127272727273,12454012.709910898,33110.31684800716,5543.156292033319,14761.607061105125,16208.656296225909,72.07562612989506,38.12556959675538,10485.0,47402.0,57887.0,25846.0,49500.0,7.8,69.0,63.6,5248869.769253483,874.0,234769.4691,914.0,1297.0,4.25,2.5
2005-03-01,1.216971619047619,4.25,1.855561681469606,36507.68237347295,377.75399999999996,2034.5836459090913,434.3669565217391,12464314.41653456,37223.62182167008,5404.638050623629,17543.244241454726,18951.439123540178,72.18277780981327,38.148643945529145,10485.0,47402.0,57887.0,25846.0,49500.0,7.4,69.3,64.2,5255754.208010512,1129.0,242998.5226,1888.0,3826.0,4.25,2.5
2005-04-01,1.2359726666666666,4.25,1.9,36806.66317626527,372.1525,1962.563337142857,427.68,12477967.0,40485.0,5926.0,19632.0,21426.0,72.31441611402279,38.17416754962993,10485.0,47402.0,57887.0,25846.0,49500.0,7.4,69.1,64.0,5263535.553147591,1249.0,233664.3395,2060.0,146.0,4.25,2.5
2005-05-01,1.2559501363636363,4.25,2.134835107838078,36978.815008726,362.6425,1998.4704821428572,421.84653846153844,12493176.693890583,42035.71571365787,7212.751809677926,20413.833294141496,23036.847246436115,72.4548212195168,38.19884480276246,10485.0,47402.0,57887.0,25846.0,49500.0,7.6,69.9,64.6,5271225.262183196,1283.0,244013.9564,803.0,1193.0,4.25,2.5
2005-06-01,1.2421523636363638,4.25,2.5183692387001626,37088.240837696336,363.506,2075.5190984545447,429.5841666666667,12510783.496950598,42004.91837749485,9072.409964105014,19939.982847267373,23778.172079586035,72.61335346666158,38.22432085513559,10485.0,47402.0,57887.0,25846.0,49500.0,7.5,69.9,64.7,5279335.9823863655,1308.0,241869.6636,2909.0,1417.0,4.25,2.5
2005-07-01,1.2237718095238095,4.25,2.7,37097.04537521815,360.2625,2138.3275025499997,424.1736000000001,12528663.0,40541.0,9804.0,18236.0,22959.0,72.77978496854456,38.24895209046718,10485.0,47402.0,57887.0,25846.0,49500.0,7.3,69.6,64.6,5287344.441485929,1110.0,245632.80899999998,3500.0,1720.0,4.25,2.5
2005-08-01,1.2055626521739131,4.25,2.63448266901803,37388.184991274,371.34,2157.993471826087,436.8911538461537,12547833.18906033,37572.134389947634,9178.027616891617,15187.402399633616,20411.520936014036,72.94246429532276,38.27439290856056,10485.0,47402.0,57887.0,25846.0,49500.0,6.4,69.2,64.8,5295640.560828545,1124.0,237292.9742,982.0,2480.0,4.25,2.5
2005-09-01,1.179030772727273,4.4375,2.3655556869432335,37483.24258289703,371.125,2145.5837867142855,455.0608333333333,12566658.626531903,33465.54519482536,7446.883478043881,11282.517988258502,16619.739787968872,73.0686320172536,38.29983673300765,10485.0,47402.0,57887.0,25846.0,49500.0,6.7,69.7,65.1,5303786.460162656,1150.0,241379.0557,922.0,357.0,4.5,1.5
2005-10-01,1.1776342857142859,4.625,2.2,37504.905759162306,374.815,2089.836675761905,469.2316666666666,12578931.0,30238.0,6320.0,9108.0,14356.0,73.15590990561672,38.32446268169528,10485.0,47402.0,57887.0,25846.0,49500.0,6.7,70.1,65.4,5311526.204667509,1040.0,246403.4827,982.0,841.0,4.75,3.0
2005-11-01,1.183129181818182,4.75,2.174189982095406,37704.930191972075,387.39399999999995,2198.7771577619046,475.03200000000004,12584544.875451315,27975.17669520418,5985.424181867076,8916.708905338,13895.289871057044,73.21011648630295,38.34991248453595,10485.0,47402.0,57887.0,25846.0,49500.0,5.9,68.9,64.8,5319375.777310091,1079.0,232161.8406,2228.0,1552.0,4.75,3.0
2005-12-01,1.162089857142857,5.0,2.2733614188460547,37822.87609075043,416.14750000000004,2249.277646047619,507.95880000000005,12584511.270385213,26893.471651056978,6338.853568277146,10453.440583026806,15013.984569431837,73.22775456055835,38.37454421876574,10485.0,47402.0,57887.0,25846.0,49500.0,6.7,68.5,63.9,5326828.754048946,743.0,244749.362,1868.0,1277.0,5.0,2.5
2006-01-01,1.1588001363636364,5.0625,2.4,37841.134380453754,436.1075,2286.17399905,548.1404000000001,12587531.0,27367.0,6606.0,12125.0,16181.0,73.21,38.4,10534.0,49669.0,60203.0,25846.0,51000.0,7.0,68.8,64.0,5334382.0,729.0,253418.16600000003,1157.0,3171.0,5.25,3.5
2006-02-01,1.1495118,5.25,2.5339407654416695,37989.528795811515,456.28499999999997,2273.930008736842,554.274347826087,12595097.495849922,29531.852697806484,6641.25810476037,13600.537457563323,17093.14248414653,73.15567502339927,38.42545881943427,10534.0,49669.0,60203.0,25846.0,51000.0,6.9,68.2,63.5,5341784.653697981,1010.0,259515.5455,920.0,1392.0,5.25,3.5
2006-03-01,1.1579455652173913,5.45,2.640963441477135,38060.51483420593,457.29800000000006,2298.326511478261,555.3573076923077,12605489.817902613,32610.998797743967,6572.931994983299,14804.648343443985,17855.518111582154,73.07517424989211,38.448456493546814,10534.0,49669.0,60203.0,25846.0,51000.0,6.4,68.3,63.9,5348341.484300281,1348.0,256038.7819,1837.0,1400.0,5.5,2.5
2006-04-01,1.1452103888888887,5.5625,2.6,38041.21116928447,511.9975,2340.4447342105263,609.2190909090909,12618444.0,34916.0,7092.0,16279.0,19753.0,72.95124751372694,38.47392109536176,10534.0,49669.0,60203.0,25846.0,51000.0,6.5,68.4,63.9,5355457.526935963,1193.0,249838.8458,1666.0,1442.0,5.75,4.66
2006-05-01,1.1098774999999999,5.8,2.378405472563416,38059.877835951134,575.172,2252.6995294090907,673.8003703703704,12632041.810143014,35676.5053995982,8299.1868711596,17891.2444907816,22817.823923426706,72.79649850715843,38.49856715117958,10534.0,49669.0,60203.0,25846.0,51000.0,6.2,68.4,64.2,5362200.635926207,1363.0,258012.9545,1963.0,1771.0,6.0,4.5
2006-06-01,1.113801772727273,6.0,1.9990174448941407,38006.169284467716,529.165,2140.1872892272727,595.7324000000001,12647069.938316187,35107.48950354073,10017.93706398338,19476.148462425568,26681.002892293447,72.60061062974867,38.52403773138812,10534.0,49669.0,60203.0,25846.0,51000.0,6.2,68.4,64.1,5369020.351870362,1284.0,251530.9182,2455.0,776.0,6.0,4.5
2006-07-01,1.1277549523809522,6.0,1.7,37950.91623036649,569.4324999999999,2089.09498295,631.9076923076923,12661878.0,34179.0,10677.0,19382.0,27836.0,72.37622180907246,38.5486895727481,10534.0,49669.0,60203.0,25846.0,51000.0,6.5,68.6,64.1,5375476.693094608,1161.0,250620.7752,2928.0,2330.0,6.0,4.5
2006-08-01,1.1191621304347827,6.0,1.4990291957772504,38068.856893542754,589.268,2116.1626083478263,629.7396296296296,12677333.368615035,32993.41173576891,10063.278539054547,17329.80621992788,25786.506469262855,72.12115620530452,38.574167443622,10534.0,49669.0,60203.0,25846.0,51000.0,6.5,68.1,63.6,5382098.7077573305,1139.0,250199.935,1448.0,1846.0,6.0,4.5
2006-09-01,1.1159737619047623,6.0,1.4049239388259736,38011.25130890052,584.3825,2219.0675292499996,599.2576,12692072.952545071,31511.99161358597,8399.724108765657,13770.965181500345,21080.58361378936,71.85772008291241,38.59965124753504,10534.0,49669.0,60203.0,25846.0,51000.0,7.0,68.6,63.8,5388787.695385059,1011.0,249715.1929,943.0,1071.0,6.0,4.5
2006-10-01,1.1288256363636364,6.0,1.4,38005.502617801045,602.9849999999999,2323.9522593181814,584.9570833333333,12700994.0,29444.0,7213.0,11460.0,17417.0,71.59484352032408,38.624318645531304,10534.0,49669.0,60203.0,25846.0,51000.0,6.8,68.1,63.5,5395324.919188241,1132.0,251892.3207,1928.0,1306.0,6.0,4.5
2006-11-01,1.1361017727272726,6.0,1.481363535708069,38047.12739965096,613.294,2405.4509277142856,625.9192307692308,12703924.83304232,26593.584609294077,6657.908350722763,10664.991535245379,15113.775018167853,71.31500141336693,38.649814130810505,10534.0,49669.0,60203.0,25846.0,51000.0,6.8,68.1,63.5,5402146.194087081,1059.0,254158.8725,1639.0,469.0,6.0,4.5
2006-12-01,1.1513308421052633,6.0,1.6333412745171942,38242.029668411866,625.565,2434.0910033500004,628.3808333333333,12701931.72601305,23514.335820364613,6688.9648852665505,11258.145120357261,14250.149915808164,71.03624809152214,38.67449283335464,10534.0,49669.0,60203.0,25846.0,51000.0,6.4,68.8,64.4,5408811.437830046,763.0,252814.6881,866.0,1126.0,6.0,4.5
2007-01-01,1.1758942727272728,6.0,1.8,37090.425087108015,620.53,2451.1974977,628.2828,12702838.0,22344.0,6793.0,12144.0,14329.0,70.74,38.7,10990.0,50220.0,61210.0,25846.0,51500.0,6.6,69.5,64.9,5415765.0,824.0,262393.5643,1192.0,3080.0,6.0,4.5
2007-02-01,1.1709892499999999,6.0,1.965483351789081,37338.828106852496,643.7049999999999,2482.686844526316,664.2295833333333,12708077.183225585,23606.473330583827,6884.774192147628,13119.1698994127,15322.194555945538,70.435414440912,38.72551310307734,10990.0,50220.0,61210.0,25846.0,51500.0,6.9,69.2,64.5,5422785.790127402,1020.0,269456.0098,497.0,634.0,6.0,4.5
2007-03-01,1.168464272727273,6.0,2.1064708640262095,37392.56213704994,667.23,2401.696810590909,654.2734615384616,12716215.014737992,26523.01508181214,7019.019249141197,14133.175658965218,16958.464016245296,70.153138672444,38.74856229866937,10990.0,50220.0,61210.0,25846.0,51500.0,7.2,69.0,64.1,5429184.932815686,1344.0,272016.532,746.0,574.0,6.0,4.5
2007-04-01,1.1346045789473684,6.0,2.2,37430.124274099886,704.5325,2496.3875,678.6968181818182,12726728.0,29478.0,7665.0,15805.0,19256.0,69.83268502992429,38.77408670011726,10990.0,50220.0,61210.0,25846.0,51500.0,7.1,68.8,63.9,5436333.672926623,1390.0,271089.5547,1019.0,818.0,6.0,4.5
2007-05-01,1.0950324090909094,6.0,2.219637622824674,37585.588850174216,712.0319999999999,2559.3581654545455,667.4284615384615,12738053.035461044,31714.741438328594,8856.326262916507,18034.890063731607,21913.898769301253,69.51463022205118,38.79879338605045,10990.0,50220.0,61210.0,25846.0,51500.0,6.8,68.7,64.0,5443315.818487747,1611.0,275813.0043,1564.0,446.0,6.0,4.5
2007-06-01,1.0652020476190474,6.0,2.1847290192184348,37719.02903600465,661.485,2595.659993571428,654.3766666666666,12750972.218966879,33256.76121091574,10431.373316540565,20546.14155233172,24682.966423146758,69.17777059496645,38.8243294688645,10990.0,50220.0,61210.0,25846.0,51500.0,6.8,68.9,64.2,5450596.845869796,1561.0,276792.9962,1112.0,985.0,6.0,4.5
2007-07-01,1.0511876363636363,6.1875,2.2,37569.49128919861,630.5575,2658.8233351428576,664.3623076923079,12764806.0,33291.0,10919.0,20760.0,24962.0,68.84383902783682,38.84904745934557,10990.0,50220.0,61210.0,25846.0,51500.0,6.8,68.9,64.2,5457707.011370704,1463.0,270624.285,1465.0,1752.0,6.25,5.44
