Date,Sales_Total,Avg_Price_Month
2007-11-01,1373,297651.13401310996
2007-12-01,946,298944.2399577167
2008-01-01,924,284193.3495670996
2008-02-01,973,283936.035971223
2008-03-01,1117,288849.2461951656
2008-04-01,1371,295366.69073668856
2008-05-01,1462,296104.1552667579
2008-06-01,1365,297700.77655677655
2008-07-01,1351,297018.53960029606
2008-08-01,1149,285999.92428198433
2008-09-01,1058,288207.7948960303
2008-10-01,956,274819.08472803346
2008-11-01,622,266543.22829581995
2008-12-01,494,266159.18623481784
2009-01-01,479,257618.96659707723
2009-02-01,681,267550.05726872245
2009-03-01,986,277731.05578093306
2009-04-01,1302,286062.37096774194
2009-05-01,1529,281881.7351209941
2009-06-01,1752,304015.41095890413
2009-07-01,1675,302291.4411940299
2009-08-01,1390,300939.4496402878
2009-09-01,1423,315820.34434293746
2009-10-01,1417,323766.0134086097
2009-11-01,1343,317861.91734921816
2009-12-01,1118,321804.8658318426
2010-01-01,931,310811.9527389903
2010-02-01,1289,334339.1031807603
2010-03-01,1714,327584.4212368728
2010-04-01,1781,325237.9882088714
2010-05-01,1535,340555.6
2010-06-01,1432,332991.9231843575
2010-07-01,1108,332094.3131768953
2010-08-01,1143,330952.19597550307
2010-09-01,1089,329329.85950413224
2010-10-01,1169,337753.69717707444
2010-11-01,1253,340879.7829209896
2010-12-01,892,342008.5403587444
2011-01-01,805,327867.88198757765
2011-02-01,1158,355614.5362694301
2011-03-01,1645,352319.9009118541
2011-04-01,1427,351763.2761037141
2011-05-01,1575,355347.39301587304
2011-06-01,1746,358880.92096219934
2011-07-01,1452,353189.07162534434
2011-08-01,1393,364437.2268485284
2011-09-01,1355,350145.7254612546
2011-10-01,1358,367714.78350515466
2011-11-01,1337,364980.98429319373
2011-12-01,943,351104.50689289503
2012-01-01,775,343835.3535483871
2012-02-01,1212,371333.74339933996
2012-03-01,1584,361800.3813131313
2012-04-01,1534,360806.83572359843
2012-05-01,1632,368147.41605392157
2012-06-01,1415,364597.2586572438
2012-07-01,1246,347996.52006420546
2012-08-01,1072,349488.60447761195
2012-09-01,934,377422.1595289079
2012-10-01,1141,358740.4864154251
2012-11-01,987,350539.8054711246
2012-12-01,680,342846.95
2013-01-01,730,340295.2520547945
2013-02-01,942,355104.1889596603
2013-03-01,1266,367594.6176935229
2013-04-01,1455,382668.25910652924
2013-05-01,1499,372767.78719146096
2013-06-01,1312,369106.3971036585
2013-07-01,1332,365184.77252252254
2013-08-01,1280,357571.9953125
2013-09-01,1183,366501.48182586645
2013-10-01,1347,384441.3986636971
2013-11-01,1081,385968.3866790009
2013-12-01,799,367375.89361702127
2014-01-01,767,366020.5136897001
2014-02-01,1031,372627.6547041707
2014-03-01,1331,384865.4320060105
2014-04-01,1505,384758.41594684386
2014-05-01,1565,401809.01725239615
2014-06-01,1578,390568.47908745246
2014-07-01,1527,379001.88736083824
2014-08-01,1344,370899.0089285714
2014-09-01,1376,395505.12354651163
2014-10-01,1455,390429.4783505155
2014-11-01,1199,394225.0183486239
2014-12-01,924,387611.58658008656
2015-01-01,809,382458.49443757726
2015-02-01,1153,369655.2567215958
2015-03-01,1506,398336.5444887118
2015-04-01,1706,407612.2145369285
2015-05-01,1762,422947.0346197503
2015-06-01,1906,418598.740818468
2015-07-01,1730,394503.62716763007
2015-08-01,1475,406587.02169491525
2015-09-01,1444,418602.86357340723
2015-10-01,1587,406792.329552615
2015-11-01,1351,415315.89859363437
2015-12-01,1038,400087.78901734104
2016-01-01,897,416103.8907469342
2016-02-01,1439,435579.19457956916
2016-03-01,1808,416250.79480088496
2016-04-01,1997,436544.80971457186
2016-05-01,2137,442520.47917641554
2016-06-01,2182,448001.9010082493
2016-07-01,1882,427074.3575982997
2016-08-01,1964,446612.11965376785
2016-09-01,1787,446293.8785674315
2016-10-01,1895,459198.91662269126
2016-11-01,1718,471255.84749708965
2016-12-01,1238,466591.6502423263
2017-01-01,1125,471409.29066666664
